sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
66,JSK SECURITIES AND SERVICES PRIVATE LIMITED,INZ000319333,90424,3295,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3295&h_MemType=members&memName=JSK%20SECURITIES%20AND%20SERVICES%20PRIVATE%20LIMITED
67,FINSTREAM PRIVATE LIMITED,INZ000326336,90440,3309,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3309&h_MemType=members&memName=FINSTREAM%20PRIVATE%20LIMITED
68,LOTUSDEW SECURITIES PRIVATE LTD,INZ000306935,90272,3146,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3146&h_MemType=members&memName=LOTUSDEW%20SECURITIES%20PRIVATE%20LTD
69,DIAMOND HANDS LLP,INZ000307157,90269,3143,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3143&h_MemType=members&memName=DIAMOND%20HANDS%20LLP
70,KANTILAL CHHAGANLAL SECURITIES PRIVATE LIMITED,INZ000216538,09301,118,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=118&h_MemType=members&memName=KANTILAL%20CHHAGANLAL%20SECURITIES%20PRIVATE%20LIMITED
71,BANHEM SECURITIES PVT LTD,INZ000281030,06536,34,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=34&h_MemType=members&memName=BANHEM%20SECURITIES%20PVT%20LTD
72,BLB LIMITED,INZ000171635,06428,41,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=41&h_MemType=members&memName=BLB%20LIMITED
73,DALMIA SECURITIES PVT. LTD.,INZ000181031,06453,63,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=63&h_MemType=members&memName=DALMIA%20SECURITIES%20PVT.%20LTD.
74,MEHTA EQUITIES LIMITED,INZ000175334,13512,243,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=243&h_MemType=members&memName=MEHTA%20EQUITIES%20LIMITED
75,SHILPA SHARES AND SECURITIES,INB230662822,06628,261,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=261&h_MemType=members&memName=SHILPA%20SHARES%20AND%20SECURITIES
76,NIKUNJ STOCK BROKERS LTD.,INZ000169335,06913,278,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=278&h_MemType=members&memName=NIKUNJ%20STOCK%20BROKERS%20LTD.
77,VCK SHARE & STOCK BROKING SERVICES LTD.,INZ000215030,04691,298,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=298&h_MemType=members&memName=VCK%20SHARE%20%26%20STOCK%20BROKING%20SERVICES%20LTD.
78,NDA SECURITIES LTD.,INZ000208431,06438,184,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=184&h_MemType=members&memName=NDA%20SECURITIES%20LTD.
79,ANTIQUE STOCK BROKING LTD.,INZ000001131,12987,203,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=203&h_MemType=members&memName=ANTIQUE%20STOCK%20BROKING%20LTD.
80,G. N. G INVESTMENT LTD,INZ000222336,07942,442,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=442&h_MemType=members&memName=G.%20N.%20G%20INVESTMENT%20LTD
81,KIFS TRADE CAPITAL PRIVATE LIMITED,INZ000004234,07760,450,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=450&h_MemType=members&memName=KIFS%20TRADE%20CAPITAL%20PRIVATE%20LIMITED
82,HB SECURITIES LIMITED,INZ000246038,06073,343,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=343&h_MemType=members&memName=HB%20SECURITIES%20LIMITED
83,INTEGRATED STOCK BROKING SERVICES PVT.LTD.,INB230781235,07812,354,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=354&h_MemType=members&memName=INTEGRATED%20STOCK%20BROKING%20SERVICES%20PVT.LTD.
84,SUNIDHI SECURITIES & FINANCE LIMITED,INZ000169235,06764,412,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=412&h_MemType=members&memName=SUNIDHI%20SECURITIES%20%26%20FINANCE%20LIMITED
85,STANDARD CHARTERED SECURITIES (INDIA) LIMITED,INZ000231932,13333,420,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=420&h_MemType=members&memName=STANDARD%20CHARTERED%20SECURITIES%20%28INDIA%29%20LIMITED
