sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
73,ALLREACH COMMODITIES INDIA PRIVATE LIMITED,INZ000074235,90332,3202,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3202&h_MemType=members&memName=ALLREACH%20COMMODITIES%20INDIA%20PRIVATE%20LIMITED
74,ALLVEST SECURITIES PRIVATE LIMITED,INZ000330839,90469,3335,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3335&h_MemType=members&memName=ALLVEST%20SECURITIES%20PRIVATE%20LIMITED
75,ALLWIN SECURITIES LIMITED,INZ000239635,12335,2801,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2801&h_MemType=members&memName=ALLWIN%20SECURITIES%20LIMITED
76,ALMONDZ GLOBAL SECURITIES LTD.,INZ000213936,12252,1951,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1951&h_MemType=members&memName=ALMONDZ%20GLOBAL%20SECURITIES%20LTD.
77,ALPHA CAPITAL,INZ000312023,90195,3071,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3071&h_MemType=members&memName=ALPHA%20CAPITAL
78,ALPHAGREP SECURITIES PRIVATE LIMITED,INZ000007930,90059,2931,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2931&h_MemType=members&memName=ALPHAGREP%20SECURITIES%20PRIVATE%20LIMITED
79,ALPHUM RESEARCH PRIVATE LIMITED,INZ000328935,90467,3333,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3333&h_MemType=members&memName=ALPHUM%20RESEARCH%20PRIVATE%20LIMITED
80,ALTINA SECURITIES PVT. LTD,INZ000276032,10852,56,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=56&h_MemType=members&memName=ALTINA%20SECURITIES%20PVT.%20LTD
81,ALTINVEST CREDIT PLATFORM PRIVATE LIMITED,,90478,3344,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3344&h_MemType=members&memName=ALTINVEST%20CREDIT%20PLATFORM%20PRIVATE%20LIMITED
82,AMAR & SONS STOCK BROKING PVT LTD,INZ000213331,11445,1751,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1751&h_MemType=members&memName=AMAR%20%26%20SONS%20STOCK%20BROKING%20PVT%20LTD
